"especie_ave","zona_ecologica","tamano_promedio_cm","color_dominante","actividad_predominante","numero_vocalizaciones","franja_horaria_activa","tipo_alimentacion","duracion_canto_seg","numero_avistamientos"
"pinzón costero","manglar",11.5,"verde","reposo",4,"mediodía","semillas",3.5,7
"reinita amarilla","bosque seco",11.9,"verde","canto",16,"mediodía","insectos",15.6,7
"mosquero tropical","urbana",12.8,"verde","canto",13,"mediodía","semillas",13.1,9
"tordo renegrido","bosque seco",11.2,"gris","reposo",7,"mediodía","insectos",2.5,6
"mosquero tropical","agrícola",9.9,"negro","reposo",7,"mediodía","insectos",11.7,8
"reinita amarilla","agrícola",13.5,"blanco","alimentación",4,"mañana","néctar",1,7
"tordo renegrido","agrícola",11.8,"verde","vuelo",7,"mañana","frutas",9.3,4
"mosquero tropical","agrícola",13.5,"blanco","vuelo",4,"tarde","insectos",5.2,3
"pinzón costero","manglar",12.7,"blanco","alimentación",8,"tarde","insectos",3.8,5
"tordo renegrido","bosque seco",14,"gris","alimentación",3,"mañana","néctar",3,8
"pinzón costero","manglar",16.3,"amarillo","canto",15,"mediodía","néctar",9.8,6
"tordo renegrido","manglar",12.2,"marrón","alimentación",3,"tarde","semillas",4.5,10
"mosquero tropical","urbana",12,"marrón","canto",14,"tarde","semillas",12.3,4
"reinita amarilla","bosque seco",12.7,"negro","reposo",8,"tarde","néctar",3.4,3
"reinita amarilla","agrícola",12.2,"negro","canto",24,"mañana","insectos",11.2,2
"tordo renegrido","urbana",10.9,"negro","alimentación",6,"tarde","insectos",1,8
"reinita amarilla","bosque seco",11.3,"gris","vuelo",11,"tarde","frutas",4.9,8
"pinzón costero","bosque seco",13.2,"negro","canto",20,"tarde","insectos",11.7,4
"pinzón costero","agrícola",9.5,"amarillo","reposo",5,"mediodía","insectos",5.2,12
"colibrí esmeralda","urbana",12.4,"blanco","alimentación",6,"tarde","néctar",3.8,8
"mosquero tropical","agrícola",13.7,"gris","canto",26,"mediodía","frutas",14.1,7
"mosquero tropical","urbana",10.5,"blanco","alimentación",5,"mañana","frutas",1.3,9
"colibrí esmeralda","bosque seco",12,"blanco","canto",11,"mañana","semillas",10,6
"pinzón costero","agrícola",10.4,"marrón","reposo",4,"mañana","insectos",1,5
"pinzón costero","urbana",9.6,"gris","vuelo",6,"mediodía","frutas",3.5,6
"mosquero tropical","manglar",12.4,"amarillo","canto",13,"mañana","semillas",5.9,6
"colibrí esmeralda","urbana",8.3,"amarillo","reposo",6,"mediodía","frutas",4.3,11
"mosquero tropical","urbana",12.5,"blanco","canto",20,"mediodía","insectos",10.8,6
"colibrí esmeralda","bosque seco",10.3,"negro","canto",12,"mañana","frutas",10.9,9
"tordo renegrido","manglar",10.7,"blanco","canto",18,"tarde","néctar",9.9,6
"tordo renegrido","agrícola",13.3,"amarillo","vuelo",8,"tarde","frutas",14.7,4
"mosquero tropical","bosque seco",12.2,"verde","canto",23,"tarde","semillas",12,7
"colibrí esmeralda","manglar",11.9,"marrón","reposo",1,"mañana","insectos",5.9,7
"pinzón costero","agrícola",11,"marrón","alimentación",4,"mediodía","semillas",3.1,3
"pinzón costero","bosque seco",13.8,"marrón","canto",19,"mañana","frutas",24.6,4
"mosquero tropical","urbana",14.6,"blanco","reposo",20,"mediodía","frutas",15.6,9
"pinzón costero","manglar",10.1,"amarillo","vuelo",8,"tarde","insectos",4.9,9
"pinzón costero","agrícola",12,"negro","vuelo",4,"mañana","semillas",1.7,5
"colibrí esmeralda","bosque seco",10.8,"gris","reposo",4,"mediodía","frutas",5.8,7
"mosquero tropical","agrícola",11.9,"blanco","reposo",7,"tarde","néctar",6.5,3
"mosquero tropical","agrícola",12.3,"amarillo","reposo",6,"mediodía","néctar",2.9,4
"reinita amarilla","manglar",13.2,"blanco","canto",18,"mediodía","semillas",15.9,8
"colibrí esmeralda","urbana",13.5,"verde","vuelo",6,"tarde","insectos",5.7,5
"mosquero tropical","urbana",11.4,"blanco","alimentación",4,"mediodía","néctar",2.7,9
"mosquero tropical","agrícola",12.1,"gris","canto",14,"mañana","insectos",10.6,6
"pinzón costero","urbana",13.1,"verde","reposo",8,"mañana","insectos",3.5,10
"colibrí esmeralda","agrícola",14.4,"blanco","alimentación",7,"mañana","insectos",5.5,7
"tordo renegrido","urbana",8.6,"gris","alimentación",4,"mañana","frutas",1.9,12
"colibrí esmeralda","urbana",13.3,"marrón","alimentación",6,"mañana","frutas",2.5,14
"reinita amarilla","bosque seco",12.4,"verde","alimentación",6,"tarde","semillas",5.2,3
"tordo renegrido","bosque seco",13.8,"marrón","alimentación",5,"mañana","semillas",2.5,8
"pinzón costero","manglar",8.7,"amarillo","vuelo",5,"tarde","insectos",3.1,9
"tordo renegrido","manglar",11.6,"gris","reposo",5,"tarde","insectos",2.3,9
"reinita amarilla","manglar",12.9,"negro","vuelo",4,"mañana","insectos",4.1,5
"reinita amarilla","bosque seco",10.5,"verde","alimentación",3,"mediodía","semillas",5,10
"tordo renegrido","agrícola",10,"verde","vuelo",3,"mediodía","frutas",1,4
"mosquero tropical","agrícola",8.7,"verde","alimentación",4,"tarde","semillas",7.5,5
"pinzón costero","manglar",13.4,"negro","vuelo",8,"mediodía","néctar",6.7,6
"tordo renegrido","manglar",16.6,"verde","canto",16,"tarde","frutas",4.9,5
"colibrí esmeralda","bosque seco",9.4,"blanco","alimentación",2,"mañana","frutas",6,7
"reinita amarilla","manglar",5.5,"amarillo","reposo",4,"mediodía","frutas",2.3,2
"colibrí esmeralda","urbana",15.3,"amarillo","canto",11,"tarde","semillas",9.2,7
"colibrí esmeralda","manglar",9.7,"negro","alimentación",5,"mañana","insectos",7,9
"reinita amarilla","agrícola",8.7,"negro","vuelo",4,"tarde","semillas",6.5,2
"mosquero tropical","urbana",12.1,"verde","reposo",6,"mediodía","insectos",1.4,5
"pinzón costero","urbana",12.1,"amarillo","vuelo",4,"tarde","insectos",6.2,11
"tordo renegrido","bosque seco",11.6,"blanco","alimentación",4,"mediodía","insectos",1,8
"reinita amarilla","manglar",10.6,"negro","vuelo",4,"mediodía","frutas",1.5,12
"colibrí esmeralda","manglar",13.6,"verde","reposo",7,"mañana","frutas",3.8,10
"reinita amarilla","manglar",11.4,"verde","reposo",5,"mañana","semillas",3.1,7
"reinita amarilla","urbana",13.6,"gris","alimentación",5,"mediodía","insectos",1,10
"tordo renegrido","agrícola",9.5,"verde","vuelo",7,"mediodía","insectos",7.3,3
"reinita amarilla","bosque seco",14.8,"amarillo","vuelo",7,"mediodía","semillas",1.3,7
"colibrí esmeralda","bosque seco",12.1,"verde","canto",20,"mañana","insectos",10.3,7
"pinzón costero","agrícola",10.4,"gris","alimentación",12,"mediodía","semillas",12.9,7
"colibrí esmeralda","agrícola",15.8,"amarillo","alimentación",5,"mediodía","néctar",8.4,4
"pinzón costero","urbana",13,"blanco","canto",14,"mediodía","insectos",10.8,9
"pinzón costero","bosque seco",7.8,"gris","canto",48,"mediodía","néctar",27.5,8
"colibrí esmeralda","agrícola",12.4,"marrón","canto",13,"mediodía","semillas",15.3,6
"reinita amarilla","bosque seco",11.9,"gris","vuelo",3,"tarde","insectos",4.4,9
"mosquero tropical","agrícola",14.2,"blanco","alimentación",3,"mediodía","frutas",3.7,7
"reinita amarilla","manglar",8.9,"amarillo","reposo",7,"tarde","néctar",2.1,8
"colibrí esmeralda","manglar",17.2,"marrón","alimentación",5,"mediodía","frutas",1.7,8
"reinita amarilla","agrícola",14.3,"verde","canto",14,"mediodía","insectos",10.1,7
"reinita amarilla","manglar",13.3,"amarillo","vuelo",5,"mañana","semillas",2.3,7
"colibrí esmeralda","agrícola",11,"amarillo","reposo",6,"mediodía","semillas",4.3,5
"pinzón costero","agrícola",13.3,"gris","alimentación",3,"mediodía","insectos",4.1,1
"mosquero tropical","agrícola",13.6,"amarillo","vuelo",10,"mediodía","frutas",3.7,6
"reinita amarilla","urbana",17.4,"gris","vuelo",2,"tarde","insectos",2.8,11
"reinita amarilla","agrícola",11.9,"negro","alimentación",10,"mediodía","néctar",4.2,4
"reinita amarilla","manglar",12,"marrón","canto",16,"mediodía","insectos",13.2,6
"reinita amarilla","urbana",11,"marrón","vuelo",2,"mediodía","néctar",8.2,6
"tordo renegrido","agrícola",9.6,"verde","vuelo",4,"tarde","frutas",2.6,8
"colibrí esmeralda","bosque seco",10.8,"blanco","vuelo",6,"tarde","semillas",5.5,5
"pinzón costero","urbana",14.3,"gris","reposo",5,"tarde","frutas",7,12
"colibrí esmeralda","agrícola",10.7,"amarillo","canto",19,"mediodía","frutas",8.4,6
"mosquero tropical","manglar",10.8,"amarillo","reposo",9,"mañana","néctar",3.7,6
"pinzón costero","manglar",11.2,"gris","reposo",3,"mediodía","insectos",1,5
"mosquero tropical","urbana",11.4,"gris","alimentación",7,"mediodía","insectos",2.4,5
"colibrí esmeralda","bosque seco",13.3,"gris","canto",22,"mediodía","semillas",13.1,8
"reinita amarilla","agrícola",12.4,"blanco","reposo",2,"mediodía","semillas",2.9,5
"pinzón costero","manglar",9.6,"negro","reposo",7,"mediodía","néctar",4.5,3
"pinzón costero","urbana",13.3,"negro","reposo",2,"mañana","semillas",2.6,7
"reinita amarilla","manglar",11.1,"gris","canto",16,"mañana","frutas",9.7,4
"pinzón costero","manglar",11.5,"negro","alimentación",3,"mañana","insectos",8.9,13
"pinzón costero","urbana",14.3,"amarillo","canto",17,"mediodía","semillas",15.7,11
"mosquero tropical","manglar",11.3,"marrón","canto",18,"tarde","semillas",16,8
"pinzón costero","urbana",9.2,"gris","reposo",1,"mediodía","insectos",3,8
"mosquero tropical","urbana",11.9,"verde","vuelo",4,"mañana","insectos",1,8
"colibrí esmeralda","manglar",12.7,"gris","alimentación",8,"mediodía","néctar",4.1,6
"pinzón costero","agrícola",9.9,"gris","vuelo",2,"mediodía","semillas",5.2,10
"colibrí esmeralda","urbana",12.9,"verde","vuelo",5,"mañana","insectos",1,10
"tordo renegrido","agrícola",8.6,"marrón","vuelo",6,"mañana","frutas",3.3,4
"colibrí esmeralda","bosque seco",11.6,"amarillo","canto",10,"mediodía","semillas",11.5,4
"tordo renegrido","urbana",9,"negro","reposo",8,"mediodía","frutas",9.1,14
"colibrí esmeralda","bosque seco",11.9,"marrón","alimentación",10,"mediodía","semillas",5,5
"mosquero tropical","urbana",13.5,"amarillo","reposo",4,"tarde","néctar",6.3,3
"pinzón costero","bosque seco",14.6,"gris","alimentación",6,"mañana","frutas",6.6,7
"reinita amarilla","urbana",14.2,"amarillo","vuelo",1,"mañana","semillas",8,5
"mosquero tropical","bosque seco",14,"verde","reposo",4,"mediodía","insectos",6.8,4
"colibrí esmeralda","urbana",13.1,"amarillo","alimentación",7,"mediodía","semillas",3.9,15
"colibrí esmeralda","bosque seco",13.1,"verde","canto",17,"mediodía","frutas",16.4,5
"mosquero tropical","agrícola",15.8,"marrón","vuelo",9,"mediodía","néctar",1.7,11
"tordo renegrido","bosque seco",9.5,"amarillo","vuelo",4,"mediodía","semillas",6.9,1
"reinita amarilla","manglar",11.7,"blanco","vuelo",3,"mediodía","frutas",7.6,5
"tordo renegrido","agrícola",9.2,"amarillo","alimentación",7,"mañana","semillas",6.9,7
"reinita amarilla","urbana",14.1,"amarillo","canto",17,"mañana","néctar",8.4,11
"pinzón costero","agrícola",10,"marrón","alimentación",2,"mediodía","frutas",4.6,7
"tordo renegrido","agrícola",8.5,"negro","alimentación",5,"mediodía","semillas",3.5,5
"tordo renegrido","bosque seco",11.8,"blanco","alimentación",7,"mediodía","frutas",10.5,3
"tordo renegrido","bosque seco",9.2,"amarillo","vuelo",1,"tarde","frutas",6.1,5
"colibrí esmeralda","manglar",11.9,"blanco","canto",40,"mañana","frutas",29.8,5
"pinzón costero","urbana",13,"blanco","reposo",6,"mañana","néctar",6.3,10
"colibrí esmeralda","bosque seco",9.8,"marrón","alimentación",5,"tarde","insectos",5.9,7
"reinita amarilla","bosque seco",6.9,"amarillo","reposo",4,"tarde","frutas",6.7,10
"colibrí esmeralda","agrícola",14.3,"marrón","vuelo",5,"mediodía","néctar",1,6
"reinita amarilla","manglar",11.4,"blanco","vuelo",2,"mediodía","frutas",5.3,7
"colibrí esmeralda","urbana",11.1,"marrón","reposo",4,"mediodía","semillas",1.8,6
"reinita amarilla","bosque seco",10.4,"amarillo","canto",16,"mañana","insectos",13.5,7
"tordo renegrido","manglar",12,"gris","reposo",7,"tarde","semillas",2,4
"mosquero tropical","manglar",12.5,"gris","canto",12,"tarde","semillas",12.7,7
"colibrí esmeralda","manglar",13.1,"verde","alimentación",9,"mañana","frutas",9.5,8
"colibrí esmeralda","bosque seco",11.8,"marrón","vuelo",8,"mediodía","insectos",4.1,1
"mosquero tropical","agrícola",14.6,"verde","reposo",9,"mediodía","frutas",6.4,7
"colibrí esmeralda","manglar",11.1,"blanco","canto",13,"tarde","néctar",7.8,10
"tordo renegrido","urbana",12.4,"marrón","alimentación",4,"tarde","frutas",7.8,13
"pinzón costero","bosque seco",13.8,"marrón","alimentación",5,"mediodía","insectos",5.9,2
"pinzón costero","urbana",13.7,"marrón","reposo",4,"mediodía","néctar",1,5
"mosquero tropical","urbana",10.3,"blanco","vuelo",1,"mañana","frutas",5,7
"colibrí esmeralda","bosque seco",10.7,"verde","alimentación",5,"mediodía","frutas",1,3
"pinzón costero","manglar",8,"amarillo","alimentación",2,"tarde","frutas",1.3,5
"reinita amarilla","agrícola",12.9,"negro","alimentación",5,"mañana","frutas",7.8,6
"reinita amarilla","manglar",15.8,"gris","alimentación",6,"mañana","insectos",3.6,5
"reinita amarilla","urbana",10.6,"verde","vuelo",10,"mañana","frutas",7,8
"reinita amarilla","urbana",13.6,"amarillo","vuelo",2,"tarde","frutas",8.5,10
"reinita amarilla","agrícola",12.4,"amarillo","canto",10,"tarde","frutas",12.1,7
"colibrí esmeralda","agrícola",13.2,"verde","alimentación",7,"mediodía","semillas",2.5,9
"tordo renegrido","urbana",9.5,"blanco","alimentación",3,"mediodía","frutas",2.5,10
"tordo renegrido","agrícola",11.1,"amarillo","canto",15,"tarde","néctar",7.8,2
"colibrí esmeralda","urbana",12.2,"amarillo","vuelo",3,"mediodía","néctar",2.1,10
"tordo renegrido","bosque seco",13.6,"marrón","reposo",5,"mediodía","semillas",3.3,4
"reinita amarilla","urbana",10.8,"blanco","canto",16,"mañana","insectos",12.3,7
"colibrí esmeralda","bosque seco",11.5,"verde","canto",44,"mañana","néctar",28.8,2
"colibrí esmeralda","bosque seco",9.4,"verde","reposo",5,"mañana","frutas",4,5
"mosquero tropical","urbana",11.6,"marrón","reposo",9,"mañana","semillas",3.7,10
"mosquero tropical","urbana",12.6,"gris","canto",12,"tarde","néctar",10.5,7
"colibrí esmeralda","bosque seco",12,"marrón","alimentación",5,"tarde","frutas",1,3
"reinita amarilla","urbana",12.1,"negro","reposo",5,"mediodía","semillas",1.1,9
"mosquero tropical","manglar",12.5,"gris","vuelo",5,"mediodía","insectos",7,5
"pinzón costero","manglar",14.8,"blanco","canto",13,"mediodía","néctar",12.1,6
"pinzón costero","agrícola",14.5,"negro","canto",21,"mañana","semillas",11.5,8
"pinzón costero","bosque seco",9.8,"verde","vuelo",7,"mañana","insectos",4.6,5
"reinita amarilla","agrícola",10.2,"amarillo","vuelo",3,"mañana","insectos",3.9,5
"pinzón costero","bosque seco",13.4,"gris","alimentación",5,"tarde","semillas",11.6,7
"pinzón costero","bosque seco",11.4,"gris","reposo",5,"mediodía","frutas",7.9,7
